PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=8.70 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=82.8 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=236 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=301 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=376 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=461 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=604 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=670 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=791 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=930 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=1052 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=1157 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=1290 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=1476 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=1423 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=1397 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=1352 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=1328 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=1253 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=1189 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=1153 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=1116 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=1057 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=998 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=953 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=938 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=728 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=771 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=788 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=816 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=804 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=810 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=840 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=822 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=804 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=810 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=792 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=772 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=763 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=752 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=709 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=737 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=725 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=719 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=732 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=852 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=827 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=792 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=733 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=694 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=628 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=575 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=669 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=680 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=632 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=643 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=625 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=614 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=588 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=567 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=580 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=590 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=577 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=589 ms
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=607 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=591 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=635 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=625 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=641 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=627 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=609 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=610 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=575 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=557 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=529 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=569 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=608 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=641 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=657 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=682 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=622 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=622 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=625 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=614 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=606 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=607 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=589 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=584 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=568 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=591 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=603 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=616 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=627 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=676 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=675 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=677 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=682 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=686 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=636 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=630 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=615 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=587 ms
